Date,GDP
2005-01-31,15844.727
2005-02-28,15844.727
2005-03-31,15844.727
2005-04-30,15922.782
2005-05-31,15922.782
2005-06-30,15922.782
2005-07-31,16047.587
2005-08-31,16047.587
2005-09-30,16047.587
2005-10-31,16136.734
2005-11-30,16136.734
2005-12-31,16136.734
2006-01-31,16353.835
2006-02-28,16353.835
2006-03-31,16353.835
2006-04-30,16396.151
2006-05-31,16396.151
2006-06-30,16396.151
2006-07-31,16420.738
2006-08-31,16420.738
2006-09-30,16420.738
2006-10-31,16561.866
2006-11-30,16561.866
2006-12-31,16561.866
2007-01-31,16611.69
2007-02-28,16611.69
2007-03-31,16611.69
2007-04-30,16713.314
2007-05-31,16713.314
2007-06-30,16713.314
2007-07-31,16809.587
2007-08-31,16809.587
2007-09-30,16809.587
2007-10-31,16915.191
2007-11-30,16915.191
2007-12-31,16915.191
2008-01-31,16843.003
2008-02-29,16843.003
2008-03-31,16843.003
2008-04-30,16943.291
2008-05-31,16943.291
2008-06-30,16943.291
2008-07-31,16854.295
2008-08-31,16854.295
2008-09-30,16854.295
2008-10-31,16485.35
2008-11-30,16485.35
2008-12-31,16485.35
2009-01-31,16298.262
2009-02-28,16298.262
2009-03-31,16298.262
2009-04-30,16269.145
2009-05-31,16269.145
2009-06-30,16269.145
2009-07-31,16326.281
2009-08-31,16326.281
2009-09-30,16326.281
2009-10-31,16502.754
2009-11-30,16502.754
2009-12-31,16502.754
2010-01-31,16582.71
2010-02-28,16582.71
2010-03-31,16582.71
2010-04-30,16743.162
2010-05-31,16743.162
2010-06-30,16743.162
2010-07-31,16872.266
2010-08-31,16872.266
2010-09-30,16872.266
2010-10-31,16960.864
2010-11-30,16960.864
2010-12-31,16960.864
2011-01-31,16920.632
2011-02-28,16920.632
2011-03-31,16920.632
2011-04-30,17035.114
2011-05-31,17035.114
2011-06-30,17035.114
2011-07-31,17031.313
2011-08-31,17031.313
2011-09-30,17031.313
2011-10-31,17222.583
2011-11-30,17222.583
2011-12-31,17222.583
2012-01-31,17367.01
2012-02-29,17367.01
2012-03-31,17367.01
2012-04-30,17444.525
2012-05-31,17444.525
2012-06-30,17444.525
2012-07-31,17469.65
2012-08-31,17469.65
2012-09-30,17469.65
2012-10-31,17489.852
2012-11-30,17489.852
2012-12-31,17489.852
2013-01-31,17662.4
2013-02-28,17662.4
2013-03-31,17662.4
2013-04-30,17709.671
2013-05-31,17709.671
2013-06-30,17709.671
2013-07-31,17860.45
2013-08-31,17860.45
2013-09-30,17860.45
2013-10-31,18016.147
2013-11-30,18016.147
2013-12-31,18016.147
2014-01-31,17953.974
2014-02-28,17953.974
2014-03-31,17953.974
2014-04-30,18185.911
2014-05-31,18185.911
2014-06-30,18185.911
2014-07-31,18406.941
2014-08-31,18406.941
2014-09-30,18406.941
2014-10-31,18500.031
2014-11-30,18500.031
2014-12-31,18500.031
2015-01-31,18666.621
2015-02-28,18666.621
2015-03-31,18666.621
2015-04-30,18782.243
2015-05-31,18782.243
2015-06-30,18782.243
2015-07-31,18857.418
2015-08-31,18857.418
2015-09-30,18857.418
2015-10-31,18892.206
2015-11-30,18892.206
2015-12-31,18892.206
2016-01-31,19001.69
2016-02-29,19001.69
2016-03-31,19001.69
2016-04-30,19062.709
2016-05-31,19062.709
2016-06-30,19062.709
2016-07-31,19197.938
2016-08-31,19197.938
2016-09-30,19197.938
2016-10-31,19304.352
2016-11-30,19304.352
2016-12-31,19304.352
2017-01-31,19398.343
2017-02-28,19398.343
2017-03-31,19398.343
2017-04-30,19506.949
2017-05-31,19506.949
2017-06-30,19506.949
2017-07-31,19660.766
2017-08-31,19660.766
2017-09-30,19660.766
2017-10-31,19882.352
2017-11-30,19882.352
2017-12-31,19882.352
2018-01-31,20044.077
2018-02-28,20044.077
2018-03-31,20044.077
2018-04-30,20150.476
2018-05-31,20150.476
2018-06-30,20150.476
2018-07-31,20276.154
2018-08-31,20276.154
2018-09-30,20276.154
2018-10-31,20304.874
2018-11-30,20304.874
2018-12-31,20304.874
2019-01-31,20431.641
2019-02-28,20431.641
2019-03-31,20431.641
2019-04-30,20602.275
2019-05-31,20602.275
2019-06-30,20602.275
2019-07-31,20843.322
2019-08-31,20843.322
2019-09-30,20843.322
2019-10-31,20985.448
2019-11-30,20985.448
2019-12-31,20985.448
2020-01-31,20693.238
2020-02-29,20693.238
2020-03-31,20693.238
2020-04-30,19056.617
2020-05-31,19056.617
2020-06-30,19056.617
2020-07-31,20548.793
2020-08-31,20548.793
2020-09-30,20548.793
2020-10-31,20771.691
2020-11-30,20771.691
2020-12-31,20771.691
2021-01-31,21058.379
2021-02-28,21058.379
2021-03-31,21058.379
2021-04-30,21389.005
2021-05-31,21389.005
2021-06-30,21389.005
2021-07-31,21571.421
2021-08-31,21571.421
2021-09-30,21571.421
2021-10-31,21960.388
2021-11-30,21960.388
2021-12-31,21960.388
2022-01-31,21903.85
2022-02-28,21903.85
2022-03-31,21903.85
2022-04-30,21919.222
2022-05-31,21919.222
2022-06-30,21919.222
2022-07-31,22066.784
2022-08-31,22066.784
2022-09-30,22066.784
2022-10-31,22249.459
2022-11-30,22249.459
2022-12-31,22249.459
2023-01-31,22403.435
2023-02-28,22403.435
2023-03-31,22403.435
2023-04-30,22539.418
2023-05-31,22539.418
2023-06-30,22539.418
2023-07-31,22780.933
2023-08-31,22780.933
2023-09-30,22780.933
2023-10-31,22960.6
2023-11-30,22960.6
2023-12-31,22960.6
2024-01-31,23053.545
2024-02-29,23053.545
2024-03-31,23053.545
2024-04-30,23223.906
2024-05-31,23223.906
2024-06-30,23223.906
2024-07-31,23400.294
2024-08-31,23400.294
2024-09-30,23400.294
2024-10-31,23542.349
