date,unemployment rate,gdp,inflation
2005-01-31,5.3,15844.727,191.6
2005-02-28,5.4,15844.727,192.4
2005-03-31,5.2,15844.727,193.1
2005-04-30,5.2,15922.782,193.7
2005-05-31,5.1,15922.782,193.6
2005-06-30,5.0,15922.782,193.7
2005-07-31,5.0,16047.587,194.9
2005-08-31,4.9,16047.587,196.1
2005-09-30,5.0,16047.587,198.8
2005-10-31,5.0,16136.734,199.1
2005-11-30,5.0,16136.734,198.1
2005-12-31,4.9,16136.734,198.1
2006-01-31,4.7,16353.835,199.3
2006-02-28,4.8,16353.835,199.4
2006-03-31,4.7,16353.835,199.7
2006-04-30,4.7,16396.151,200.7
2006-05-31,4.6,16396.151,201.3
2006-06-30,4.6,16396.151,201.8
2006-07-31,4.7,16420.738,202.9
2006-08-31,4.7,16420.738,203.8
2006-09-30,4.5,16420.738,202.8
2006-10-31,4.4,16561.866,201.9
2006-11-30,4.5,16561.866,202.0
2006-12-31,4.4,16561.866,203.1
2007-01-31,4.6,16611.69,203.437
2007-02-28,4.5,16611.69,204.226
2007-03-31,4.4,16611.69,205.288
2007-04-30,4.5,16713.314,205.904
2007-05-31,4.4,16713.314,206.755
2007-06-30,4.6,16713.314,207.234
2007-07-31,4.7,16809.587,207.603
2007-08-31,4.6,16809.587,207.667
2007-09-30,4.7,16809.587,208.547
2007-10-31,4.7,16915.191,209.19
2007-11-30,4.7,16915.191,210.834
2007-12-31,5.0,16915.191,211.445
2008-01-31,5.0,16843.003,212.174
2008-02-29,4.9,16843.003,212.687
2008-03-31,5.1,16843.003,213.448
2008-04-30,5.0,16943.291,213.942
2008-05-31,5.4,16943.291,215.208
2008-06-30,5.6,16943.291,217.463
2008-07-31,5.8,16854.295,219.016
2008-08-31,6.1,16854.295,218.69
2008-09-30,6.1,16854.295,218.877
2008-10-31,6.5,16485.35,216.995
2008-11-30,6.8,16485.35,213.153
2008-12-31,7.3,16485.35,211.398
2009-01-31,7.8,16298.262,211.933
2009-02-28,8.3,16298.262,212.705
2009-03-31,8.7,16298.262,212.495
2009-04-30,9.0,16269.145,212.709
2009-05-31,9.4,16269.145,213.022
2009-06-30,9.5,16269.145,214.79
2009-07-31,9.5,16326.281,214.726
2009-08-31,9.6,16326.281,215.445
2009-09-30,9.8,16326.281,215.861
2009-10-31,10.0,16502.754,216.509
2009-11-30,9.9,16502.754,217.234
2009-12-31,9.9,16502.754,217.347
2010-01-31,9.8,16582.71,217.488
2010-02-28,9.8,16582.71,217.281
2010-03-31,9.9,16582.71,217.353
2010-04-30,9.9,16743.162,217.403
2010-05-31,9.6,16743.162,217.29
2010-06-30,9.4,16743.162,217.199
2010-07-31,9.4,16872.266,217.605
2010-08-31,9.5,16872.266,217.923
2010-09-30,9.5,16872.266,218.275
2010-10-31,9.4,16960.864,219.035
2010-11-30,9.8,16960.864,219.59
2010-12-31,9.3,16960.864,220.472
2011-01-31,9.1,16920.632,221.187
2011-02-28,9.0,16920.632,221.898
2011-03-31,9.0,16920.632,223.046
2011-04-30,9.1,17035.114,224.093
2011-05-31,9.0,17035.114,224.806
2011-06-30,9.1,17035.114,224.806
2011-07-31,9.0,17031.313,225.395
2011-08-31,9.0,17031.313,226.106
2011-09-30,9.0,17031.313,226.597
2011-10-31,8.8,17222.583,226.75
2011-11-30,8.6,17222.583,227.169
2011-12-31,8.5,17222.583,227.223
2012-01-31,8.3,17367.01,227.842
2012-02-29,8.3,17367.01,228.329
2012-03-31,8.2,17367.01,228.807
2012-04-30,8.2,17444.525,229.187
2012-05-31,8.2,17444.525,228.713
2012-06-30,8.2,17444.525,228.524
2012-07-31,8.2,17469.65,228.59
2012-08-31,8.1,17469.65,229.918
2012-09-30,7.8,17469.65,231.015
2012-10-31,7.8,17489.852,231.638
2012-11-30,7.7,17489.852,231.249
2012-12-31,7.9,17489.852,231.221
2013-01-31,8.0,17662.4,231.679
2013-02-28,7.7,17662.4,232.937
2013-03-31,7.5,17662.4,232.282
2013-04-30,7.6,17709.671,231.797
2013-05-31,7.5,17709.671,231.893
2013-06-30,7.5,17709.671,232.445
2013-07-31,7.3,17860.45,232.9
2013-08-31,7.2,17860.45,233.456
2013-09-30,7.2,17860.45,233.544
2013-10-31,7.2,18016.147,233.669
2013-11-30,6.9,18016.147,234.1
2013-12-31,6.7,18016.147,234.719
2014-01-31,6.6,17953.974,235.288
2014-02-28,6.7,17953.974,235.547
2014-03-31,6.7,17953.974,236.028
2014-04-30,6.2,18185.911,236.468
2014-05-31,6.3,18185.911,236.918
2014-06-30,6.1,18185.911,237.231
2014-07-31,6.2,18406.941,237.498
2014-08-31,6.1,18406.941,237.46
2014-09-30,5.9,18406.941,237.477
2014-10-31,5.7,18500.031,237.43
2014-11-30,5.8,18500.031,236.983
2014-12-31,5.6,18500.031,236.252
2015-01-31,5.7,18666.621,234.747
2015-02-28,5.5,18666.621,235.342
2015-03-31,5.4,18666.621,235.976
2015-04-30,5.4,18782.243,236.222
2015-05-31,5.6,18782.243,237.001
2015-06-30,5.3,18782.243,237.657
2015-07-31,5.2,18857.418,238.034
2015-08-31,5.1,18857.418,238.033
2015-09-30,5.0,18857.418,237.498
2015-10-31,5.0,18892.206,237.733
2015-11-30,5.1,18892.206,238.017
2015-12-31,5.0,18892.206,237.761
2016-01-31,4.8,19001.69,237.652
2016-02-29,4.9,19001.69,237.336
2016-03-31,5.0,19001.69,238.08
2016-04-30,5.1,19062.709,238.992
2016-05-31,4.8,19062.709,239.557
2016-06-30,4.9,19062.709,240.222
2016-07-31,4.8,19197.938,240.101
2016-08-31,4.9,19197.938,240.545
2016-09-30,5.0,19197.938,241.176
2016-10-31,4.9,19304.352,241.741
2016-11-30,4.7,19304.352,242.026
2016-12-31,4.7,19304.352,242.637
2017-01-31,4.7,19398.343,243.618
2017-02-28,4.6,19398.343,244.006
2017-03-31,4.4,19398.343,243.892
2017-04-30,4.4,19506.949,244.193
2017-05-31,4.4,19506.949,244.004
2017-06-30,4.3,19506.949,244.163
2017-07-31,4.3,19660.766,244.243
2017-08-31,4.4,19660.766,245.183
2017-09-30,4.3,19660.766,246.435
2017-10-31,4.2,19882.352,246.626
2017-11-30,4.2,19882.352,247.284
2017-12-31,4.1,19882.352,247.805
2018-01-31,4.0,20044.077,248.859
2018-02-28,4.1,20044.077,249.529
2018-03-31,4.0,20044.077,249.577
2018-04-30,4.0,20150.476,250.227
2018-05-31,3.8,20150.476,250.792
2018-06-30,4.0,20150.476,251.018
2018-07-31,3.8,20276.154,251.214
2018-08-31,3.8,20276.154,251.663
2018-09-30,3.7,20276.154,252.182
2018-10-31,3.8,20304.874,252.772
2018-11-30,3.8,20304.874,252.594
2018-12-31,3.9,20304.874,252.767
2019-01-31,4.0,20431.641,252.561
2019-02-28,3.8,20431.641,253.319
2019-03-31,3.8,20431.641,254.277
2019-04-30,3.7,20602.275,255.233
2019-05-31,3.6,20602.275,255.296
2019-06-30,3.6,20602.275,255.213
2019-07-31,3.7,20843.322,255.802
2019-08-31,3.6,20843.322,256.036
2019-09-30,3.5,20843.322,256.43
2019-10-31,3.6,20985.448,257.155
2019-11-30,3.6,20985.448,257.879
2019-12-31,3.6,20985.448,258.63
2020-01-31,3.6,20693.238,259.127
2020-02-29,3.5,20693.238,259.25
2020-03-31,4.4,20693.238,258.076
2020-04-30,14.8,19056.617,256.032
2020-05-31,13.2,19056.617,255.802
2020-06-30,11.0,19056.617,257.042
2020-07-31,10.2,20548.793,258.352
2020-08-31,8.4,20548.793,259.316
2020-09-30,7.8,20548.793,259.997
2020-10-31,6.9,20771.691,260.319
2020-11-30,6.7,20771.691,260.911
2020-12-31,6.7,20771.691,262.045
2021-01-31,6.4,21058.379,262.639
2021-02-28,6.2,21058.379,263.573
2021-03-31,6.1,21058.379,264.847
2021-04-30,6.1,21389.005,266.625
2021-05-31,5.8,21389.005,268.404
2021-06-30,5.9,21389.005,270.71
2021-07-31,5.4,21571.421,271.965
2021-08-31,5.1,21571.421,272.752
2021-09-30,4.7,21571.421,273.942
2021-10-31,4.5,21960.388,276.528
2021-11-30,4.2,21960.388,278.824
2021-12-31,3.9,21960.388,280.806
2022-01-31,4.0,21903.85,282.542
2022-02-28,3.8,21903.85,284.525
2022-03-31,3.7,21903.85,287.467
2022-04-30,3.7,21919.222,288.582
2022-05-31,3.6,21919.222,291.299
2022-06-30,3.6,21919.222,295.072
2022-07-31,3.5,22066.784,294.94
2022-08-31,3.6,22066.784,295.162
2022-09-30,3.5,22066.784,296.421
2022-10-31,3.6,22249.459,297.979
2022-11-30,3.6,22249.459,298.708
2022-12-31,3.5,22249.459,298.808
2023-01-31,3.5,22403.435,300.456
2023-02-28,3.6,22403.435,301.476
2023-03-31,3.5,22403.435,301.643
2023-04-30,3.4,22539.418,302.858
2023-05-31,3.6,22539.418,303.316
2023-06-30,3.6,22539.418,304.099
2023-07-31,3.5,22780.933,304.615
2023-08-31,3.7,22780.933,306.138
2023-09-30,3.8,22780.933,307.374
2023-10-31,3.9,22960.6,307.653
2023-11-30,3.7,22960.6,308.087
2023-12-31,3.8,22960.6,308.735
2024-01-31,3.7,23053.545,309.794
2024-02-29,3.9,23053.545,311.022
2024-03-31,3.9,23053.545,312.107
2024-04-30,3.9,23223.906,313.016
2024-05-31,4.0,23223.906,313.14
2024-06-30,4.1,23223.906,313.131
2024-07-31,4.2,23400.294,313.566
2024-08-31,4.2,23400.294,314.131
2024-09-30,4.1,23400.294,314.851
2024-10-31,4.1,23542.349,315.564
2024-11-30,4.2,,316.449
2024-12-31,4.1,,317.603
